Player,Session,Landmark_X,Landmark_Y,Angle_Name,Angle_Value,Player_State
Ehab,1,0.6365357637405396,0.11238466203212738,landmark_0,,free
Ehab,1,0.6489115953445435,0.09475404769182205,landmark_1,,free
Ehab,1,0.6528693437576294,0.09481928497552872,landmark_2,,free
Ehab,1,0.6571351885795593,0.09487266093492508,landmark_3,,free
Ehab,1,0.644321084022522,0.0942317545413971,landmark_4,,free
Ehab,1,0.6448022723197937,0.09420286864042282,landmark_5,,free
Ehab,1,0.6454388499259949,0.09432560950517654,landmark_6,,free
Ehab,1,0.6840423345565796,0.10820909589529037,landmark_7,,free
Ehab,1,0.6651533842086792,0.1109718307852745,landmark_8,,free
Ehab,1,0.6465054750442505,0.1348976045846939,landmark_9,,free
Ehab,1,0.6408292651176453,0.13537338376045227,landmark_10,,free
Ehab,1,0.7652610540390015,0.23923158645629883,landmark_11,,free
Ehab,1,0.6120131611824036,0.21417860686779022,landmark_12,,free
Ehab,1,0.7894027829170227,0.39438578486442566,landmark_13,,free
Ehab,1,0.5061572790145874,0.22885827720165253,landmark_14,,free
Ehab,1,0.7064393162727356,0.3415333032608032,landmark_15,,free
Ehab,1,0.4121125340461731,0.23249270021915436,landmark_16,,free
Ehab,1,0.676041841506958,0.33806660771369934,landmark_17,,free
Ehab,1,0.38171952962875366,0.2390928715467453,landmark_18,,free
Ehab,1,0.6752815842628479,0.31703630089759827,landmark_19,,free
Ehab,1,0.3828950524330139,0.23932771384716034,landmark_20,,free
Ehab,1,0.6833613514900208,0.31601670384407043,landmark_21,,free
Ehab,1,0.3932080864906311,0.23994538187980652,landmark_22,,free
Ehab,1,0.7032254338264465,0.5350126624107361,landmark_23,,free
Ehab,1,0.616658091545105,0.528071403503418,landmark_24,,free
Ehab,1,0.6997587084770203,0.7364250421524048,landmark_25,,free
Ehab,1,0.6224517226219177,0.7300227284431458,landmark_26,,free
Ehab,1,0.6952742338180542,0.9004637598991394,landmark_27,,free
Ehab,1,0.6201362609863281,0.8919287323951721,landmark_28,,free
Ehab,1,0.6856476068496704,0.9146187901496887,landmark_29,,free
Ehab,1,0.6288811564445496,0.9136207103729248,landmark_30,,free
Ehab,1,0.7110137939453125,0.9757797718048096,landmark_31,,free
Ehab,1,0.5883916616439819,0.9579363465309143,landmark_32,,free
Ehab,1,,,left_elbow,48.656322913167735,free
Ehab,1,,,right_elbow,174.31793740187138,free
Ehab,1,,,left_shoulder,20.68943739435369,free
Ehab,1,,,right_shoulder,82.95259541170486,free
